Filename,Q1,Q3,Lipid,Date,Sample_Name,Sample,Summed_Intensity,TIC_Time,TIC_RSD_Total,TIC_RSD_Window,TIC_RSD_WindowBest,TIC_RSD_TopGroupWindow,Summed_TIC
20250916_532MeOHIPAACN_BrainLipidEx_LC,554.55,266.4,Cer(d18:0/17:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,120,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,562.42,264.4,CerP(d18:1/12:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,240,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,562.52,262.4,Cer(d18:2/18:1),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,160,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,564.54,264.4,Cer(d18:1/18:1(9Z)),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,1520,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,566.55,264.4,Cer(d18:1/18:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,241960,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,568.57,266.4,Cer(d18:0/18:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,8280,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,570.55,266.4,Cer(d18:0/h17:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,360,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,578.55,220.4,"""Cer(d15:2(4E,6E)/22:0)""",20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,0,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,580.57,264.4,Cer(d18:1/19:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,1720,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,582.58,266.4,Cer(d18:0/19:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,320,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,590.45,264.4,CerP(d18:1/14:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,360,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,590.55,262.4,Cer(d18:2/20:1),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,280,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,592.57,262.4,Cer(d18:2/20:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,5080,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,594.58,264.4,Cer(d18:1/20:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,20880,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,596.6,266.4,Cer(d18:0/20:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,880,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,606.58,262.4,Cer(d18:2/21:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,240,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,608.6,236.4,Cer(d16:1/23:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,120,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,610.61,266.4,Cer(d18:0/21:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,0,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,618.49,264.4,CerP(d18:1/16:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,1560,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,620.5,266.4,CerP(d18:0/16:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,400,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
20250916_532MeOHIPAACN_BrainLipidEx_LC,620.6,262.4,Cer(d18:2/22:0),20250916,532MeOHIPAACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,Sample,1360,3.57161666667,10.340274627265417,"[4.824169810184111, 5.901859731625454, 5.652779418990551, 5.363729746766233, 5.619264754399773, 6.554095265903446, 5.312896853406702, 5.253274953360216, 7.609262670077846, 9.090014292459474, 9.368316014289972, 9.738604573720126, 9.751328725179405, 13.29017329716191, 13.027912419224966, 11.27580728735369, 10.765378960600273, 11.350604335225162, 10.602808298827505, 10.518991216795138, 9.590031088297597, 9.693098655286757, 10.40437393668564, 15.612665020878245, 15.6572574726114, 16.2270371470178, 16.165048807253836, 14.141764347764532, 14.127263680887852, 14.414486298026452, 12.15692072240282, 11.064797666139672, 10.105300146427256, 10.981462813618455, 9.469912478465053, 9.293040567121567, 9.796465197467377, 6.394945611026348, 9.738347360643754, 13.470921590166457, 13.136777901744825, 13.136777901744829, 12.831289948477801, 13.331646320902804, 13.195519641483248, 11.014207343385033, 6.999643127342161, 9.305661949465119, 7.850152157053319, 7.656441657123622, 8.34358869372986, 8.492707682645715, 11.92491405798068, 11.760472435981576]",4.824169810184111,5.337685922851264,676160
